time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-06-03T00:16:15.710Z,-30.081,-71.5927,43.49,4.3,mb,,139,0.347,0.63,us,us200060q7,2016-06-03T00:34:03.373Z,"27km WSW of Coquimbo, Chile",earthquake,5.8,7,0.201,7,reviewed,us,us
2016-06-02T23:39:19.370Z,12.5173,-89.2745,10,4.7,mb,,83,1.163,1.39,us,us200060d8,2016-06-03T00:03:22.136Z,"107km S of La Libertad, El Salvador",earthquake,3.3,1.8,0.034,265,reviewed,us,us
2016-06-02T23:08:48.800Z,-21.1282,-69.0266,113.52,4.2,mb,,57,0.438,0.65,us,us2000608h,2016-06-02T23:33:46.274Z,"148km N of Calama, Chile",earthquake,5.9,6.5,0.141,14,reviewed,us,us
2016-06-02T23:06:15.930Z,34.1796667,-117.2931667,8.8,3.14,ml,136,21,0.01858,0.14,ci,ci37367951,2016-06-03T23:07:18.469Z,"6km ENE of Muscoy, CA",earthquake,0.1,0.21,0.153,346,reviewed,ci,ci
2016-06-02T22:54:31.700Z,19.0935,-66.8391,42,3.1,Md,20,205.2,0.62522744,0.37,pr,pr16154022,2016-06-02T23:15:24.558Z,"67km N of Hatillo, Puerto Rico",earthquake,1.5,5.2,0,16,reviewed,pr,pr
2016-06-02T22:41:29.140Z,12.761,57.9792,10,4.6,mb,,118,3.903,1.26,us,us20006083,2016-06-02T23:08:10.835Z,"Owen Fracture Zone region",earthquake,11.4,1.9,0.076,52,reviewed,us,us
2016-06-02T22:40:22.530Z,32.7831667,-115.4503333,10.99,2.66,ml,39,63,0.02229,0.25,ci,ci37367895,2016-06-02T23:21:32.080Z,"7km WSW of Holtville, CA",earthquake,0.39,0.5,0.197,23,reviewed,ci,ci
2016-06-02T21:18:07.160Z,-18.0208,65.4853,10,4.6,mb,,72,17.344,0.76,us,us2000606y,2016-06-02T21:45:43.761Z,"285km NE of Port Mathurin, Mauritius",earthquake,12.5,1.9,0.089,38,reviewed,us,us
2016-06-02T19:17:08.870Z,40.5421,71.5497,22.79,4.3,mb,,72,0.739,0.87,us,us2000604p,2016-06-02T21:03:02.776Z,"13km NNE of Hamza, Uzbekistan",earthquake,6.5,6.4,0.111,23,reviewed,us,us
2016-06-02T18:20:36.850Z,20.5504,120.7274,10,4.4,mb,,118,2.279,1.11,us,us2000603u,2016-06-02T20:19:29.795Z,"119km WSW of Itbayat, Philippines",earthquake,8.8,1.3,0.12,20,reviewed,us,us
2016-06-02T18:04:19.000Z,59.7113,-148.7352,4.5,2.6,ml,,,,0.68,ak,ak13626113,2016-06-02T18:27:47.030Z,"58km SE of Seward, Alaska",earthquake,0.8,0.5,,,automatic,ak,ak
2016-06-02T18:03:21.240Z,36.4078,-98.1294,5,2.7,mb_lg,,49,0.152,0.5,us,us2000603h,2016-06-02T18:39:38.812Z,"19km SE of Helena, Oklahoma",earthquake,0.6,2,0.073,49,reviewed,us,us
2016-06-02T18:02:26.020Z,-9.1779,117.9336,112.99,4.4,mb,,59,3.802,1.19,us,us2000603p,2016-06-02T19:26:42.330Z,"42km S of Boal Atas, Indonesia",earthquake,6.7,7.2,0.082,43,reviewed,us,us
2016-06-02T17:37:30.000Z,59.5985,-153.1387,122.3,3.2,ml,,,,0.52,ak,ak13626101,2016-06-02T18:27:54.253Z,"76km WSW of Anchor Point, Alaska",earthquake,0.3,0.4,,,automatic,ak,ak
2016-06-02T17:07:04.000Z,22.384,143.6431,127.2,4.6,mb,,79,4.874,0.7,us,us2000602s,2016-06-02T21:08:25.149Z,"242km NNW of Farallon de Pajaros, Northern Mariana Islands",earthquake,9.3,6.4,0.039,191,reviewed,us,us
2016-06-02T16:20:56.500Z,36.6505,-97.708,7.334,2.7,ml,,47,,0.59,us,us20006013,2016-06-03T16:18:53.040Z,"17km S of Medford, Oklahoma",earthquake,1.3,4.1,,,reviewed,tul,tul
2016-06-02T15:38:48.900Z,19.2922,-67.3584,55,3,Md,4,316.8,0.90999338,0.07,pr,pr16154021,2016-06-02T19:57:41.548Z,"92km NNW of San Antonio, Puerto Rico",earthquake,1.8,4.3,0,3,reviewed,pr,pr
2016-06-02T15:19:35.740Z,-32.8271,179.4842,346.72,4.8,mb,,59,4.204,0.82,us,us2000600d,2016-06-03T16:07:41.375Z,"217km SW of L'Esperance Rock, New Zealand",earthquake,7.9,6.3,0.054,106,reviewed,us,us
2016-06-02T15:01:25.340Z,-0.2544,124.0475,91.78,4.9,mb,,33,1.496,1.12,us,us20006002,2016-06-03T14:40:57.684Z,"71km S of Molibagu, Indonesia",earthquake,7.6,6.8,0.048,134,reviewed,us,us
2016-06-02T14:45:37.000Z,60.2296,-153.1601,135.3,2.7,ml,,,,0.55,ak,ak13625713,2016-06-02T15:30:56.933Z,"36km SW of Redoubt Volcano, Alaska",earthquake,0.6,0.5,,,automatic,ak,ak
2016-06-02T13:26:44.200Z,19.1921,-67.2632,59,3.1,Md,8,298.8,0.7348219,0.51,pr,pr16154020,2016-06-02T17:23:36.497Z,"79km NNW of San Antonio, Puerto Rico",earthquake,3.4,8,0,8,reviewed,pr,pr
2016-06-02T13:02:39.800Z,19.3073,-67.1885,28,2.8,Md,4,334.8,0.83812816,0.15,pr,pr16154017,2016-06-02T13:48:24.717Z,"90km N of Isabela, Puerto Rico",earthquake,2,10.5,0,3,reviewed,pr,pr
2016-06-02T12:27:21.000Z,19.1445,-67.2853,73,3.2,Md,9,288,0.69260108,0.6,pr,pr16154015,2016-06-02T13:40:00.464Z,"74km NNW of San Antonio, Puerto Rico",earthquake,4.3,7.6,0,8,reviewed,pr,pr
2016-06-02T12:19:43.300Z,19.3668,-67.313,13,2.9,Md,6,320.4,0.91448496,0.23,pr,pr16154014,2016-06-02T13:35:06.255Z,"99km NNW of San Antonio, Puerto Rico",earthquake,9.6,13.7,0,6,reviewed,pr,pr
2016-06-02T12:16:31.200Z,19.2952,-67.2612,38,3.4,Md,15,219.6,0.83543321,0.33,pr,pr16154010,2016-06-02T12:59:48.548Z,"90km N of San Antonio, Puerto Rico",earthquake,1.9,9.5,0,14,reviewed,pr,pr
2016-06-02T11:51:46.700Z,19.315,-67.2139,24,3.4,Md,14,288,0.84800963,0.18,pr,pr16154008,2016-06-02T12:42:35.434Z,"91km N of San Antonio, Puerto Rico",earthquake,0.8,13.6,0,13,reviewed,pr,pr
2016-06-02T11:50:36.900Z,19.2481,-67.2734,61,3.2,Md,15,280.8,0.88034898,0.28,pr,pr16154005,2016-06-02T12:16:05.957Z,"85km NNW of San Antonio, Puerto Rico",earthquake,2.1,5,0,10,reviewed,pr,pr
2016-06-02T11:17:10.520Z,-7.1087,117.2107,484.26,4.6,mb,,56,3.273,0.77,us,us20005zxk,2016-06-02T11:32:24.930Z,"129km NNW of Labuhankananga, Indonesia",earthquake,10.9,8.8,0.077,50,reviewed,us,us
2016-06-02T11:11:22.900Z,34.7178333,-116.0353333,2.98,3.24,ml,37,40,0.1018,0.16,ci,ci37367207,2016-06-02T13:36:47.650Z,"11km E of Ludlow, CA",earthquake,0.16,0.35,0.182,174,reviewed,ci,ci
2016-06-02T11:02:48.620Z,-23.4983,-177.6847,255.06,5.1,mb,,47,5.727,1.25,us,us20005zxh,2016-06-02T11:17:18.849Z,"South of the Fiji Islands",earthquake,8.3,7,0.077,55,reviewed,us,us
2016-06-02T10:45:20.500Z,19.3976,-67.3003,32,3,Md,7,320.4,0.94233273,0.28,pr,pr16154013,2016-06-02T13:19:52.887Z,"102km NNW of San Antonio, Puerto Rico",earthquake,2.2,15.5,0,7,reviewed,pr,pr
2016-06-02T10:35:25.800Z,19.3029,-67.18,28,3,Md,4,334.8,0.83363658,0.17,pr,pr16154012,2016-06-02T13:10:48.465Z,"90km N of Isabela, Puerto Rico",earthquake,2.2,11.8,0,3,reviewed,pr,pr
2016-06-02T09:36:47.400Z,19.2831,-67.2425,14,3.3,Md,15,273.6,0.82016185,0.21,pr,pr16154002,2016-06-02T10:13:56.012Z,"88km N of San Antonio, Puerto Rico",earthquake,2.8,5.6,0,13,reviewed,pr,pr
2016-06-02T09:23:52.120Z,34.717,-116.0331667,2.77,3.31,ml,29,40,0.1032,0.14,ci,ci37367055,2016-06-02T13:26:35.110Z,"12km E of Ludlow, CA",earthquake,0.16,0.35,0.219,192,reviewed,ci,ci
2016-06-02T09:20:23.900Z,19.3316,-67.2188,38,2.6,Md,4,334.8,0.86507762,0.25,pr,pr16154009,2016-06-02T12:48:52.846Z,"93km N of San Antonio, Puerto Rico",earthquake,3.6,15.7,0,4,reviewed,pr,pr
2016-06-02T09:15:47.700Z,19.2777,-67.2677,12,2.8,Md,5,316.8,0.81836522,0.14,pr,pr16154007,2016-06-02T12:36:03.238Z,"88km NNW of San Antonio, Puerto Rico",earthquake,6.3,9,0,5,reviewed,pr,pr
2016-06-02T09:09:06.900Z,19.2607,-67.2393,44,3.3,Md,13,273.6,0.79770397,0.33,pr,pr16154001,2016-06-02T09:45:45.370Z,"86km N of San Antonio, Puerto Rico",earthquake,2.1,8.1,0,12,reviewed,pr,pr
2016-06-02T07:56:20.960Z,19.434,-155.3201667,6.404,3.12,ml,53,42,0.03029,0.08,hv,hv61282546,2016-06-02T17:36:39.596Z,"8km W of Volcano, Hawaii",earthquake,0.25,0.43,0.224,25,reviewed,hv,hv
2016-06-02T07:36:08.800Z,19.3519,-67.1835,38,3.3,Md,12,273.6,1.00162154,0.38,pr,pr16154003,2016-06-02T12:05:19.068Z,"95km N of Isabela, Puerto Rico",earthquake,2.7,16.6,0,8,reviewed,pr,pr
2016-06-02T06:59:58.290Z,17.725,-105.8541,31,4.4,mb,,199,4.784,0.84,us,us20005zwi,2016-06-02T07:18:36.898Z,"205km SW of San Patricio, Mexico",earthquake,11.2,5.7,0.067,64,reviewed,us,us
2016-06-02T06:54:13.000Z,61.3216,-147.3953,10.7,2.8,ml,,,,0.83,ak,ak13624624,2016-06-02T07:31:36.161Z,"60km WNW of Valdez, Alaska",earthquake,0.2,0.2,,,automatic,ak,ak
2016-06-02T05:47:18.490Z,34.713,-116.0351667,3.02,2.51,ml,27,39,0.1004,0.15,ci,ci37366711,2016-06-02T14:45:19.194Z,"11km E of Ludlow, CA",earthquake,0.18,0.35,0.153,97,reviewed,ci,ci
2016-06-02T05:45:22.210Z,36.0466667,-120.6101667,2.94,2.54,md,91,30,0.02483,0.09,nc,nc72644576,2016-06-03T02:57:03.575Z,"24km WSW of Coalinga, California",earthquake,0.12,0.21,0.197,76,reviewed,nc,nc
2016-06-02T04:05:56.000Z,62.4526,-151.0027,73,2.5,ml,,,,0.59,ak,ak13624611,2016-06-02T04:51:32.693Z,"48km WNW of Talkeetna, Alaska",earthquake,0.3,0.8,,,automatic,ak,ak
2016-06-02T02:43:10.710Z,18.0227,-105.8365,37.72,4.7,mb,,174,4.654,1.12,us,us20005zv5,2016-06-02T03:09:16.101Z,"178km SW of San Patricio, Mexico",earthquake,8.8,7.8,0.031,307,reviewed,us,us
2016-06-02T02:23:06.080Z,18.0242,-105.8544,10,5.8,mww,,101,4.669,1.06,us,us20005zv0,2016-06-02T20:50:37.647Z,"179km SW of San Patricio, Mexico",earthquake,6,1.9,,,reviewed,us,us
2016-06-02T01:28:54.770Z,36.3682,-97.718,6.17,3.1,mb_lg,,59,0.236,0.2,us,us20005zuw,2016-06-02T01:39:45.101Z,"14km ESE of Enid, Oklahoma",earthquake,1.4,4.2,0.058,77,reviewed,us,us
2016-06-02T01:28:12.600Z,18.8435,-64.5541,3,2.9,Md,7,302.4,0.54976895,0.18,pr,pr16154000,2016-06-02T03:51:34.710Z,"47km N of Road Town, British Virgin Islands",earthquake,2.2,2.3,0,6,reviewed,pr,pr
